Station,Year,Month,Day,Rainfall
10120,1983,6,27,2
10120,1983,6,28,21
10120,1983,6,29,37
10120,1983,6,30,2
10120,1983,7,1,8
10120,1983,7,2,54
10120,1983,7,3,25
10120,1983,7,4,8
10120,1983,7,5,20
10120,1983,7,6,0
10120,1983,7,7,16
10120,1983,7,8,98
10120,1983,7,9,10
10120,1983,7,10,0
10120,1983,7,11,0
10120,1983,7,12,0
10120,1983,7,13,0
10120,1983,7,14,0
10120,1983,7,15,0
10120,1983,7,16,1
10120,1983,7,17,84
10120,1983,7,18,15
10120,1983,7,19,2
10120,1983,7,20,0
10120,1983,7,21,10
10120,1983,7,22,7
10120,1983,7,23,7
10120,1983,7,24,58
10120,1983,7,25,200
10120,1983,7,26,1
10120,1983,7,27,23
10120,1983,7,28,12
10120,1983,7,29,19
10120,1983,7,30,21
10120,1983,7,31,1
10120,1983,8,1,1
10120,1983,8,2,0
10120,1983,8,3,1
10120,1983,8,4,11
10120,1983,8,5,1
10120,1983,8,6,0
10120,1983,8,7,0
10120,1983,8,8,0
10120,1983,8,9,0
10120,1983,8,10,0
10120,1983,8,11,0
10120,1983,8,12,8
10120,1983,8,13,1
10120,1983,8,14,1
10120,1983,8,15,0
10120,1983,8,16,0
10120,1983,8,17,0
10120,1983,8,18,0
10120,1983,8,19,0
10120,1983,8,20,0
10120,1983,8,21,8
10120,1983,8,22,40
10120,1983,8,23,109
10120,1983,8,24,59
10120,1983,8,25,47
10120,1983,8,26,9
10120,1983,8,27,37
10120,1983,8,28,0
10120,1983,8,29,6
10120,1983,8,30,16
10120,1983,8,31,8
10120,1983,9,1,0
10120,1983,9,2,2
10120,1983,9,3,0
10120,1983,9,4,4
10120,1983,9,5,0
10120,1983,9,6,2
10120,1983,9,7,10
10120,1983,9,8,36
10120,1983,9,9,7
10120,1983,9,10,12
10120,1983,9,11,0
10120,1983,9,12,0
10120,1983,9,13,1
10120,1983,9,14,90
10120,1983,9,15,22
10120,1983,9,16,10
10120,1983,9,17,15
10120,1983,9,18,64
10120,1983,9,19,1
10120,1983,9,20,7
10120,1983,9,21,7
10120,1983,9,22,10
10120,1983,9,23,17
10120,1983,9,24,0
10120,1983,9,25,0
10120,1983,9,26,1
10120,1983,9,27,2
10120,1983,9,28,0
10120,1983,9,29,0
10120,1983,9,30,0
10120,1983,10,1,0
10120,1983,10,2,26
